threshold,f1,precision,recall
0.2110552009026609,0.8330229671011794,0.7168803418803419,0.9940740740740741
0.21608032473367664,0.8345771144278606,0.7191854233654876,0.9940740740740741
0.22110544856469236,0.835096453018046,0.7199570815450643,0.9940740740740741
0.2261305723957081,0.8366583541147132,0.7222820236813778,0.9940740740740741
0.23115569622672383,0.8377028714107366,0.7238403451995685,0.9940740740740741
0.23618082005773958,0.8369768894440974,0.7235421166306696,0.9925925925925926
0.24120594388875533,0.8375,0.7243243243243244,0.9925925925925926
0.24623106771977105,0.83729662077597,0.7248104008667389,0.9911111111111112
0.25125619155078677,0.838871473354232,0.7271739130434782,0.9911111111111112
0.25628131538180254,0.838871473354232,0.7271739130434782,0.9911111111111112
0.26130643921281826,0.8404522613065326,0.7295528898582334,0.9911111111111112
0.266331563043834,0.8425692695214105,0.732749178532311,0.9911111111111112
0.2713566868748497,0.8441640378548896,0.7351648351648352,0.9911111111111112
0.2763818107058655,0.8452305748578648,0.736784140969163,0.9911111111111112
0.2814069345368812,0.8457648546144121,0.7375964718853363,0.9911111111111112
0.2864320583678969,0.8462998102466793,0.7384105960264901,0.9911111111111112
0.29145718219891265,0.8489847715736041,0.7425083240843507,0.9911111111111112
0.2964823060299284,0.8504137492043284,0.7455357142857143,0.9896296296296296
0.30150742986094414,0.851497769279796,0.7472035794183445,0.9896296296296296
0.30653255369195986,0.8525845564773452,0.7488789237668162,0.9896296296296296
0.3115576775229756,0.8542199488491049,0.7514060742407199,0.9896296296296296
0.31658280135399136,0.8558616271620756,0.7539503386004515,0.9896296296296296
0.3216079251850071,0.8569595894804362,0.755656108597285,0.9896296296296296
0.3266330490160228,0.8575096277278562,0.7565118912797282,0.9896296296296296
0.3316581728470386,0.8580603725112396,0.7573696145124716,0.9896296296296296
0.3366832966780543,0.8591639871382637,0.759090909090909,0.9896296296296296
0.34170842050907,0.8591639871382637,0.759090909090909,0.9896296296296296
0.34673354434008574,0.8619354838709677,0.7634285714285715,0.9896296296296296
0.3517586681711015,0.8636069812540401,0.7660550458715596,0.9896296296296296
0.35678379200211724,0.8636069812540401,0.7660550458715596,0.9896296296296296
0.36180891583313296,0.8641655886157826,0.7669345579793341,0.9896296296296296
0.3668340396641487,0.8647249190938512,0.767816091954023,0.9896296296296296
0.37185916349516446,0.8664072632944229,0.7704728950403691,0.9896296296296296
0.3768842873261802,0.8669695003244646,0.7713625866050808,0.9896296296296296
0.3819094111571959,0.8669695003244646,0.7713625866050808,0.9896296296296296
0.3869345349882116,0.8686605981794538,0.7740440324449595,0.9896296296296296
0.3919596588192274,0.8684895833333334,0.7746806039488966,0.9881481481481481
0.3969847826502431,0.8696219035202086,0.7764842840512224,0.9881481481481481
0.40200990648125884,0.8707571801566579,0.7782963827304551,0.9881481481481481
0.4070350303122746,0.8713259307642064,0.7792056074766355,0.9881481481481481
0.41206015414329034,0.8713259307642064,0.7792056074766355,0.9881481481481481
0.41708527797430606,0.8730366492146597,0.7819460726846424,0.9881481481481481
0.4221104018053218,0.8747540983606558,0.7847058823529411,0.9881481481481481
0.42713552563633755,0.8753280839895013,0.7856301531213192,0.9881481481481481
0.4321606494673533,0.8764783180026281,0.7874852420306966,0.9881481481481481
0.437185773298369,0.8764783180026281,0.7874852420306966,0.9881481481481481
0.4422108971293847,0.8776315789473684,0.7893491124260354,0.9881481481481481
0.4472360209604005,0.8787878787878788,0.7912218268090154,0.9881481481481481
0.4522611447914162,0.8787878787878788,0.7912218268090154,0.9881481481481481
0.45728626862243194,0.8787878787878788,0.7912218268090154,0.9881481481481481
0.46231139245344766,0.8811096433289299,0.7949940405244339,0.9881481481481481
0.46733651628446343,0.8828590337524818,0.7978468899521531,0.9881481481481481
0.47236164011547915,0.8834437086092716,0.7988023952095809,0.9881481481481481
